Instance, Colors, Time (sec), Color Classes
myciel3.col,4,0,"{5, 6, 7, 8, 9}, {2, 3, 10}, {0, 4}, {1}, {11}"
myciel7.col,8,0.001,"{2, 3, 7, 8, 13, 14, 25, 26, 49, 50, 54, 55, 60, 61, 65, 66, 72, 73, 77, 78, 83, 84, 88, 89, 97, 98, 102, 103, 108, 109, 113, 114, 120, 121, 125, 126, 131, 132, 136, 137, 144, 145, 149, 150, 155, 156, 160, 161, 167, 168, 172, 173, 178, 179, 183, 184}, {0, 5, 9, 11, 15, 23, 27, 47, 52, 56, 58, 62, 63, 67, 70, 74, 75, 79, 81, 85, 86, 90, 95, 100, 104, 106, 110, 111, 115, 118, 122, 123, 127, 129, 133, 134, 138, 142, 147, 151, 153, 157, 158, 162, 165, 169, 170, 174, 176, 180, 181, 185}, {6, 12, 24, 53, 59, 64, 71, 76, 82, 87, 101, 107, 112, 119, 124, 130, 135, 148, 154, 159, 166, 171, 177, 182}, {16, 17, 18, 19, 20, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 94, 190}, {1, 4, 10, 22, 46, 48, 51, 57, 69, 93, 96, 99, 105, 117, 141, 143, 146, 152, 164, 188}, {21, 33, 68, 80, 91, 116, 128, 139, 163, 175, 186}, {45, 140, 187, 189}, {92}, {191}"
latin_square_10.col,160,0.193,"{1, 93, 182, 276, 381, 470, 564, 669, 762, 843}, {49, 140, 232, 321, 401, 493, 582, 691, 780, 889}, {18, 112, 201, 290, 364, 453, 542, 679, 768, 849}, {30, 123, 211, 302, 402, 490, 581, 698, 789, 860}, {41, 134, 223, 309, 422, 511, 597, 719, 804, 885}, {56, 145, 238, 324, 379, 471, 558, 642, 729, 846}, {69, 160, 248, 341, 421, 509, 602, 707, 800, 863}, {75, 164, 253, 350, 389, 478, 575, 649, 746, 827}, {88, 175, 263, 354, 427, 515, 606, 668, 759, 830}, {7, 94, 181, 270, 524, 613, 677, 766, 829}, {59, 152, 237, 325, 413, 586, 714, 802, 838}, {13, 99, 191, 405, 498, 587, 632, 721, 839}, {31, 124, 210, 303, 412, 591, 706, 799, 852}, {19, 205, 296, 373, 466, 557, 682, 773, 890}, {37, 132, 219, 311, 375, 461, 554, 696, 842}, {23, 110, 202, 288, 417, 594, 661, 747, 855}, {29, 122, 213, 300, 383, 561, 690, 778, 877}, {43, 221, 314, 439, 528, 620, 699, 791, 872}, {47, 142, 231, 323, 385, 474, 566, 709, 881}, {48, 230, 316, 394, 482, 568, 708, 793, 865}, {50, 143, 229, 322, 508, 601, 715, 809, 853}, {54, 148, 235, 326, 363, 541, 667, 758, 820}, {62, 239, 331, 442, 536, 629, 643, 736, 862}, {64, 157, 250, 333, 372, 549, 673, 756, 882}, {68, 159, 247, 410, 499, 593, 688, 782, 854}, {74, 163, 252, 348, 468, 563, 639, 734, 815}, {84, 171, 269, 353, 387, 484, 569, 637, 884}, {85, 176, 264, 351, 400, 576, 678, 765, 837}, {87, 173, 265, 352, 416, 595, 651, 739, 847}, {109, 200, 291, 415, 507, 598, 641, 732, 840}, {161, 249, 338, 404, 491, 580, 717, 806, 869}, {0, 186, 277, 465, 556, 672, 763, 880}, {60, 242, 329, 424, 521, 608, 647, 733}, {3, 95, 184, 271, 578, 689, 776, 857}, {4, 96, 183, 275, 411, 590, 697, 851}, {14, 101, 192, 280, 596, 660, 749, 848}, {12, 193, 281, 396, 579, 634, 722, 858}, {24, 198, 289, 428, 513, 604, 675, 810}, {33, 208, 304, 429, 514, 610, 685, 826}, {63, 155, 251, 361, 458, 544, 656, 742}, {46, 233, 317, 374, 467, 550, 692, 893}, {91, 185, 370, 464, 552, 653, 741, 868}, {130, 222, 306, 446, 538, 621, 681, 873}, {196, 282, 408, 502, 589, 664, 750, 886}, {224, 310, 420, 512, 599, 701, 788, 896}, {11, 197, 283, 485, 571, 638, 724}, {16, 190, 279, 435, 612, 659, 828}, {25, 206, 437, 530, 615, 683, 894}, {27, 214, 366, 457, 545, 700, 888}, {45, 226, 368, 450, 546, 712, 825}, {35, 209, 447, 533, 628, 686, 834}, {39, 218, 393, 479, 572, 695, 833}, {44, 217, 448, 532, 627, 694, 824}, {66, 243, 395, 477, 574, 711, 817}, {67, 246, 403, 489, 584, 705, 845}, {80, 162, 254, 347, 626, 631, 832}, {81, 359, 455, 547, 662, 754, 871}, {82, 261, 459, 551, 648, 740, 812}, {83, 174, 262, 380, 469, 658, 819}, {92, 188, 274, 371, 553, 665, 751}, {102, 194, 285, 409, 500, 671, 870}, {120, 215, 301, 476, 562, 674, 760}, {172, 267, 519, 605, 644, 730, 866}, {180, 273, 523, 616, 676, 769, 822}, {204, 362, 456, 540, 663, 748, 874}, {244, 336, 496, 588, 703, 795, 821}, {61, 234, 436, 617, 666, 814}, {6, 187, 425, 520, 655, 883}, {26, 203, 441, 624, 635, 867}, {17, 189, 444, 623, 657, 811}, {38, 133, 307, 559, 710, 892}, {58, 147, 332, 399, 492, 755}, {65, 153, 337, 378, 723, 895}, {73, 165, 258, 349, 555, 753}, {79, 256, 423, 517, 633, 850}, {108, 199, 294, 619, 630, 726}, {121, 212, 297, 537, 680, 864}, {168, 342, 392, 567, 774, 891}, {170, 259, 386, 718, 807, 879}, {195, 432, 529, 614, 636, 875}, {220, 312, 600, 716, 808, 861}, {225, 319, 570, 702, 796, 813}, {227, 367, 451, 548, 704, 836}, {236, 328, 360, 543, 640, 831}, {240, 327, 560, 645, 731, 876}, {245, 340, 497, 592, 713, 835}, {9, 106, 284, 454, 798}, {52, 315, 440, 525, 801}, {70, 156, 339, 618, 752}, {86, 178, 355, 495, 787}, {89, 358, 434, 526, 744}, {113, 292, 365, 779, 823}, {118, 305, 397, 488, 737}, {146, 407, 501, 585, 738}, {158, 335, 391, 480, 767}, {166, 260, 609, 761, 897}, {228, 583, 687, 781, 844}, {241, 330, 406, 646, 735}, {255, 443, 534, 650, 841}, {257, 518, 611, 670, 764}, {266, 398, 577, 652, 856}, {268, 356, 510, 654, 878}, {313, 384, 565, 790, 899}, {53, 139, 318, 445}, {40, 131, 503, 775}, {42, 129, 308, 426}, {55, 150, 460, 783}, {100, 286, 504, 745}, {117, 298, 473, 720}, {137, 320, 462, 743}, {167, 382, 771, 898}, {169, 343, 622, 784}, {207, 531, 684, 816}, {216, 522, 693, 818}, {293, 369, 463, 725}, {295, 419, 505, 772}, {334, 418, 506, 757}, {346, 481, 805, 859}, {20, 111, 390}, {51, 138, 607}, {97, 278, 430}, {115, 376, 797}, {135, 483, 727}, {136, 388, 573}, {144, 539, 887}, {151, 603, 792}, {179, 452, 794}, {272, 527, 786}, {287, 414, 728}, {299, 535, 785}, {344, 377, 803}, {345, 472, 777}, {357, 516, 770}, {22, 116}, {5, 98}, {36, 128}, {8, 90}, {10, 105}, {15, 107}, {21, 114}, {71, 154}, {103, 486}, {104, 438}, {119, 494}, {125, 431}, {126, 475}, {127, 433}, {149, 625}, {177, 487}, {2}, {28}, {32}, {34}, {57}, {72}, {76}, {77}, {78}, {141}, {449}, {900}"
school1.col,15,0.008,"{15, 19, 31, 37, 52, 61, 78, 83, 97, 130, 132, 134, 135, 150, 153, 161, 169, 175, 187, 193, 202, 215, 224, 235, 240, 251, 263, 275, 281, 283, 292, 313, 314, 315, 337, 361, 373, 381}, {12, 21, 41, 55, 58, 75, 88, 101, 103, 107, 121, 136, 137, 152, 162, 184, 192, 211, 217, 234, 284, 286, 295, 312, 316, 341, 344, 348, 353, 365, 382}, {13, 28, 46, 50, 67, 70, 87, 92, 129, 131, 133, 138, 139, 141, 157, 171, 186, 188, 207, 222, 247, 261, 268, 289, 291, 307, 308, 356, 367, 380}, {0, 7, 14, 25, 29, 47, 51, 56, 68, 104, 126, 158, 167, 172, 196, 208, 213, 228, 236, 238, 248, 262, 269, 296, 303, 318, 368, 377}, {1, 2, 17, 27, 34, 49, 106, 119, 145, 166, 176, 195, 197, 198, 243, 255, 265, 285, 293, 301, 322, 326, 330, 338, 346, 363}, {3, 23, 36, 60, 77, 82, 96, 114, 116, 118, 122, 168, 179, 216, 219, 223, 250, 274, 276, 280, 299, 324, 327, 339, 360, 372}, {11, 33, 42, 66, 69, 86, 91, 113, 115, 117, 125, 149, 156, 164, 181, 189, 221, 246, 266, 270, 288, 317, 329, 355, 366, 379}, {54, 64, 72, 89, 94, 98, 109, 124, 144, 159, 178, 183, 206, 214, 226, 254, 259, 272, 278, 298, 311, 321, 333, 336, 358, 371}, {8, 16, 20, 30, 38, 53, 62, 99, 128, 140, 147, 154, 155, 170, 191, 237, 239, 242, 252, 264, 282, 300, 305, 362, 374}, {4, 24, 40, 43, 44, 48, 105, 127, 142, 160, 173, 199, 201, 209, 253, 258, 271, 277, 297, 309, 319, 331, 334, 349, 369}, {9, 18, 35, 57, 74, 79, 84, 100, 112, 120, 146, 165, 203, 227, 230, 244, 290, 302, 323, 340, 343, 347, 352, 364, 378}, {26, 39, 59, 76, 81, 85, 102, 108, 163, 185, 212, 218, 225, 232, 245, 257, 267, 287, 294, 306, 342, 345, 354, 375, 376}, {5, 65, 73, 90, 95, 110, 123, 151, 182, 194, 220, 229, 233, 249, 260, 273, 279, 304, 325, 328, 350, 359, 383, 384}, {6, 22, 32, 45, 63, 71, 93, 111, 143, 174, 177, 190, 200, 205, 210, 231, 310, 320, 332, 335, 351, 357, 370}, {10, 80, 148, 180, 204, 241, 256}, {385}"
school1_nsh.col,21,0.007,"{12, 21, 26, 59, 76, 81, 85, 102, 108, 135, 163, 175, 185, 192, 212, 218, 225, 232, 235, 240, 245, 257, 267, 283, 287, 294, 306, 312, 314, 315, 342, 345}, {9, 18, 35, 43, 57, 74, 79, 84, 100, 103, 112, 120, 136, 137, 146, 161, 165, 187, 193, 203, 227, 230, 244, 284, 290, 302, 313, 323, 340, 343, 347}, {1, 13, 34, 39, 67, 104, 114, 132, 138, 139, 167, 184, 186, 188, 205, 207, 222, 254, 264, 268, 289, 308, 333, 334}, {15, 19, 31, 37, 52, 61, 78, 83, 97, 130, 134, 150, 153, 169, 194, 202, 215, 224, 251, 263, 275, 281, 291, 337}, {2, 17, 27, 49, 106, 119, 145, 166, 176, 195, 197, 198, 243, 255, 265, 285, 293, 301, 322, 326, 330, 338, 346}, {0, 7, 14, 25, 29, 47, 51, 68, 116, 126, 158, 172, 196, 208, 213, 237, 248, 262, 269, 296, 303, 318}, {8, 16, 20, 30, 38, 53, 62, 128, 147, 154, 155, 170, 191, 234, 236, 238, 242, 252, 282, 300, 305}, {5, 56, 65, 73, 90, 95, 110, 123, 151, 182, 220, 229, 233, 249, 260, 273, 279, 304, 325, 328, 350}, {33, 42, 66, 69, 86, 91, 113, 125, 140, 149, 156, 164, 181, 189, 221, 246, 266, 270, 288, 317, 329}, {3, 23, 36, 60, 75, 82, 96, 115, 117, 122, 168, 179, 211, 223, 274, 276, 280, 295, 324, 327}, {10, 58, 80, 101, 107, 121, 148, 152, 162, 180, 204, 217, 241, 286, 316, 341, 344, 348}, {6, 54, 64, 98, 109, 124, 144, 159, 178, 228, 253, 256, 272, 278, 307, 335, 351}, {11, 24, 40, 44, 55, 71, 99, 118, 142, 199, 201, 209, 239, 271, 277, 332}, {46, 50, 70, 87, 92, 129, 131, 133, 141, 160, 247, 261, 292}, {41, 63, 111, 127, 143, 174, 177, 190, 200, 210, 231}, {45, 88, 94, 226, 297, 310, 321, 331, 349}, {72, 89, 183, 206, 214, 259, 298, 319, 336}, {4, 28, 105, 157, 173, 258, 309}, {77, 216, 219, 250, 299, 311, 339}, {22, 32, 48, 93, 320}, {171}, {352}"
mulsol.i.1.col,49,0.002,"{2, 57, 60, 65, 68, 69, 71, 72, 75, 77, 78, 80, 81, 83, 85, 88, 91, 93, 94, 96, 97, 99, 100, 102, 104, 105, 109, 112, 114, 115, 118, 121, 122, 123, 131, 132, 133, 139, 140, 141, 142, 145, 147, 151, 154, 155, 156, 157, 158, 166, 167, 168, 169, 170, 171, 174, 178, 179, 180, 181, 182, 184, 185, 186, 187, 189, 192, 193, 195, 196}, {33, 59, 67, 120, 124, 125, 126, 127, 128, 129, 135, 137, 138, 148, 149, 152, 153, 161, 162, 164, 165, 172, 173, 175, 176, 177, 190, 191}, {13, 35, 36, 76, 89, 92, 108, 143, 183, 194}, {58, 130, 134, 136, 146, 150, 160, 163}, {12, 101, 107, 119, 188}, {11, 37, 95, 117}, {56, 144, 159}, {5, 61}, {0, 30}, {1, 31}, {6, 63}, {3, 34}, {4, 39}, {7, 84}, {8, 87}, {9, 98}, {10, 111}, {14, 38}, {15, 106}, {40, 54}, {41, 64}, {42, 66}, {43, 70}, {44, 73}, {45, 74}, {46, 116}, {47, 113}, {48, 110}, {49, 103}, {50, 90}, {51, 86}, {52, 82}, {53, 62}, {55, 79}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}, {29}, {32}, {197}"
inithx.i.1.col,54,0.015,"{34, 80, 91, 92, 93, 96, 97, 100, 103, 106, 109, 110, 113, 117, 119, 121, 122, 123, 124, 125, 126, 127, 128, 130, 134, 135, 137, 139, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 159, 160, 163, 166, 168, 170, 171, 172, 175, 176, 177, 178, 180, 183, 187, 188, 193, 194, 197, 202, 204, 205, 210, 212, 215, 217, 220, 222, 225, 227, 229, 230, 234, 236, 241, 242, 243, 245, 246, 247, 248, 249, 251, 258, 259, 262, 264, 268, 272, 274, 278, 280, 283, 285, 288, 290, 292, 293, 294, 295, 297, 298, 299, 300, 302, 307, 309, 310, 314, 315, 316, 318, 319, 321, 323, 325, 329, 331, 332, 334, 340, 342, 345, 347, 349, 351, 353, 354, 356, 358, 360, 362, 366, 369, 374, 379, 380, 382, 384, 385, 386, 387, 389, 390, 391, 393, 394, 395, 397, 398, 402, 405, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 418, 419, 420, 422, 423, 425, 426, 428, 430, 431, 432, 433, 434, 435, 437, 438, 439, 443, 446, 448, 449, 455, 456, 458, 460, 461, 463, 467, 468, 469, 470, 474, 479, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 494, 496, 498, 500, 501, 502, 504, 508, 510, 511, 513, 514, 515, 516, 518, 519, 520, 521, 522, 523, 525, 526, 527, 528, 530, 531, 532, 533, 534, 535, 536, 537, 539, 547, 548, 550, 552, 553, 554, 555, 556, 557, 558, 560, 562, 567, 569, 570, 576, 577, 579, 580, 581, 585, 589, 596, 599, 606, 608, 613, 617, 621, 622, 624, 628, 629, 630, 631, 633, 634, 636, 638, 642, 647, 649, 652, 656, 660, 664, 665, 666, 667, 668, 670, 676, 677, 678, 680, 682, 684, 685, 686, 687, 688, 689, 690, 691, 693, 698, 700, 701, 705, 709, 713, 714, 715, 716, 717, 718, 719, 722, 724, 726, 735, 736, 737, 739, 740, 741, 743, 748, 751, 752, 754, 756, 758, 759, 761, 762, 763, 766, 768, 769, 772, 773, 775, 780, 782, 787, 788, 790, 791, 792, 793, 794, 796, 798, 799, 800, 801, 802, 803, 804, 805, 808, 809, 810, 811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 823, 827, 830, 832, 833, 834, 835, 837, 838, 839, 842, 847, 849, 850, 853, 859, 861, 862}, {41, 104, 115, 141, 161, 162, 164, 169, 173, 174, 179, 182, 184, 185, 189, 190, 192, 476, 480, 481, 541, 584, 588, 590, 591, 592, 595, 598, 600, 601, 602, 607, 609, 610, 612, 614, 619, 620, 651, 653, 654, 655, 659, 661, 662, 663, 672, 708, 710, 711, 712, 729, 731, 733, 734, 757, 797, 806, 807}, {38, 64, 165, 195, 198, 199, 201, 206, 207, 211, 213, 216, 218, 221, 223, 226, 228, 231, 233, 238, 239, 240, 250, 263, 266, 269, 273, 275, 276, 279, 281, 286, 287, 289, 326, 328, 330, 341, 343, 359, 364, 368, 370, 371, 372, 440, 540, 587, 603, 650, 658, 671, 706, 828, 855, 856, 857, 860}, {37, 66, 81, 95, 98, 99, 102, 105, 118, 136, 244, 260, 296, 317, 320, 324, 338, 344, 381, 388, 406, 421, 427, 442, 503, 505, 551, 561, 564, 566, 574, 627, 632, 643, 644, 646, 648, 683, 694, 695, 697, 704, 721, 723, 778, 781, 784, 786, 831, 836, 843, 844, 846, 863}, {12, 36, 120, 133, 284, 291, 303, 304, 306, 313, 337, 346, 355, 417, 424, 493, 497, 499, 506, 509, 512, 517, 529, 549, 565, 573, 635, 641, 645, 692, 696, 703, 720, 725, 764, 765, 785, 789, 841, 845, 852}, {101, 114, 140, 167, 181, 186, 191, 429, 436, 444, 445, 447, 450, 452, 453, 454, 457, 462, 464, 466, 471, 472, 475, 477, 478, 583, 586, 594, 597, 605, 611, 616, 618, 639, 657, 707, 728, 730, 732}, {15, 46, 48, 132, 301, 305, 311, 336, 352, 404, 495, 524, 563, 572, 640, 681, 702, 727, 738, 744, 745, 749, 753, 760, 767, 770, 776, 777, 779, 795, 829, 851}, {59, 62, 158, 196, 200, 203, 209, 214, 219, 224, 232, 235, 261, 267, 277, 312, 322, 327, 339, 357, 543, 578, 626, 854, 858}, {89, 90, 361, 363, 365, 367, 373, 375, 376, 377, 378, 441, 451, 459, 465, 473, 582, 593, 604, 615, 637, 679}, {14, 35, 47, 61, 131, 257, 335, 400, 568, 699, 742, 746, 747, 755, 774, 783, 848}, {11, 44, 129, 255, 396, 507, 546, 675, 750, 771, 825}, {10, 43, 52, 65, 254, 392, 545, 674, 824}, {55, 142, 271, 348, 559, 623, 625, 840}, {51, 82, 253, 383, 544, 673, 826}, {54, 69, 138, 265, 282, 350, 571}, {13, 60, 63, 256, 538, 669}, {33, 83, 252, 333, 542, 822}, {50, 68, 112, 308, 403, 575}, {45, 58, 67, 71}, {32, 84, 237}, {42, 49, 56}, {53, 116, 270}, {57, 70, 401}, {3, 72}, {0, 29}, {4, 73}, {1, 30}, {5, 74}, {2, 31}, {6, 75}, {7, 76}, {8, 77}, {9, 78}, {79, 88}, {85, 208}, {86, 108}, {87, 107}, {94, 111}, {16}, {17}, {18}, {19}, {20}, {21}, {22}, {23}, {24}, {25}, {26}, {27}, {28}, {39}, {40}, {399}, {864}"
anna.col,11,0.001,"{0, 1, 2, 3, 4, 5, 9, 10, 13, 14, 16, 21, 22, 23, 25, 29, 30, 37, 38, 40, 41, 43, 47, 48, 55, 61, 62, 64, 65, 70, 74, 76, 78, 79, 81, 83, 85, 86, 87, 89, 91, 95, 99, 102, 103, 104, 105, 106, 108, 110, 112, 113, 114, 116, 118, 120, 121, 123, 124, 127, 128, 131, 137}, {7, 12, 15, 26, 28, 34, 39, 42, 49, 51, 57, 59, 60, 67, 68, 71, 75, 96, 97, 117, 122, 133, 135, 136}, {11, 18, 20, 24, 27, 32, 36, 44, 46, 50, 52, 54, 66, 69, 92, 93, 101, 109, 111, 125, 129, 132, 134}, {33, 45, 56, 63, 77, 82, 107, 115, 126}, {19, 53, 58, 88, 98, 100, 130}, {8, 72, 84, 90, 94}, {31, 80, 119}, {6}, {17}, {35}, {73}, {138}"
huck.col,11,0,"{3, 14, 23, 25, 27, 29, 32, 35, 43, 52, 53, 57, 58, 60, 63, 64, 65, 69, 71, 73}, {9, 15, 21, 31, 34, 38, 44, 49, 50, 51, 61, 72}, {1, 2, 17, 33, 41, 48, 66, 67}, {6, 36, 37, 42, 47, 54, 62, 70}, {8, 22, 39, 45, 46, 59}, {11, 13, 19, 24, 55}, {20, 28, 30, 56, 68}, {7, 12, 16, 40}, {5, 10, 26}, {4, 18}, {0}, {74}"
jean.col,10,0.001,"{0, 7, 11, 12, 20, 22, 23, 25, 31, 32, 35, 36, 40, 41, 46, 47, 48, 50, 51, 53, 64, 70, 73, 75, 78, 79}, {2, 17, 30, 34, 38, 42, 44, 52, 55, 58, 60, 61, 66, 69, 71, 74}, {4, 10, 13, 29, 45, 56, 59, 63, 67, 72, 76, 77}, {1, 21, 28, 57, 65, 68}, {5, 9, 18, 26, 43}, {15, 16, 27, 33, 39}, {19, 37, 49, 54, 62}, {3, 14, 24}, {8}, {6}, {80}"
