File,Time (sec),Clique size,Clique vertices,100000,100
brock200_1.clq,0.388,10
brock200_2.clq,0.35,7
brock200_3.clq,0.374,8
brock200_4.clq,0.396,8
brock400_1.clq,0.79,9
brock400_2.clq,0.813,10
brock400_3.clq,0.787,11
brock400_4.clq,0.765,10
C125.9.clq,0.342,16
gen200_p0.9_44.clq,0.511,18
gen200_p0.9_55.clq,0.46,17
hamming8-4.clq,0.459,7
johnson8-2-4.clq,0.115,4
johnson16-2-4.clq,0.277,8
keller4.clq,0.336,7
MANN_a27.clq,2.202,57
MANN_a9.clq,0.237,16
p_hat1000-1.clq,1.533,4
p_hat1000-2.clq,1.574,9
p_hat1500-1.clq,2.277,5
p_hat300-3.clq,0.578,12
p_hat500-3.clq,1.004,11
san1000.clq,1.823,8
sanr200_0.9.clq,0.522,16
sanr400_0.7.clq,0.819,9
