File,Time (sec),Clique size
brock200_1.clq,0,0
brock200_2.clq,0,0
brock200_3.clq,0,0
brock200_4.clq,0,0
brock400_1.clq,0,0
brock400_2.clq,0,0
brock400_3.clq,0,0
brock400_4.clq,0,0
C125.9.clq,0,0
gen200_p0.9_44.clq,0,0
gen200_p0.9_55.clq,0,0
hamming8-4.clq,0,0
johnson8-2-4.clq,0,0
johnson16-2-4.clq,0,0
keller4.clq,0,0
MANN_a27.clq,0,0
MANN_a9.clq,0,0
p_hat1000-1.clq,0,0
p_hat1000-2.clq,0,0
p_hat1500-1.clq,0,0
p_hat300-3.clq,0,0
p_hat500-3.clq,0,0
san1000.clq,0,0
sanr200_0.9.clq,0,0
sanr400_0.7.clq,0,0
