File,Time (sec),Clique size,Clique vertices,40000
brock200_1.clq,1.28,21,"{3,25,31,40,45,47,82,99,102,103,106,119,121,131,136,137,143,174,179,190,198}"
brock200_2.clq,0.624,12,"{26,47,54,69,104,119,120,134,144,148,157,182}"
brock200_3.clq,0.806,14,"{26,106,111,119,131,134,143,154,155,161,163,173,180,197}"
brock200_4.clq,0.911,17,"{11,18,27,28,37,53,64,70,78,92,116,126,138,160,164,185,191}"
brock400_1.clq,2.958,25,"{26,57,68,77,78,100,131,141,157,194,213,224,230,267,282,286,290,300,313,318,319,342,345,376,381}"
brock400_2.clq,2.932,25,"{42,78,89,104,110,123,131,138,188,194,198,204,208,229,250,261,278,294,295,296,339,374,384,390,397}"
brock400_3.clq,2.911,31,"{17,19,38,67,72,84,89,91,92,101,107,133,134,141,149,177,185,206,220,222,233,251,259,261,275,303,310,347,364,379,387}"
brock400_4.clq,3.103,33,"{6,7,16,18,111,134,146,153,156,160,185,196,201,210,240,241,244,246,265,266,269,293,323,333,339,342,352,361,379,388,392,393,395}"
C125.9.clq,2.803,34,"{0,1,4,6,8,10,16,17,18,24,28,30,33,43,46,47,48,53,69,70,76,78,79,84,92,97,100,109,113,114,116,120,121,124}"
gen200_p0.9_44.clq,4.438,44,"{12,19,28,33,37,39,41,45,46,64,66,71,74,80,81,83,92,93,96,99,101,104,107,116,118,119,122,126,128,131,137,140,145,148,149,150,155,165,169,179,185,189,192,194}"
gen200_p0.9_55.clq,3.514,55,"{4,5,11,13,14,18,20,24,25,26,29,32,34,35,40,61,63,66,68,72,75,76,77,78,80,81,85,87,88,90,92,95,106,110,112,115,116,122,128,136,142,143,145,146,158,162,163,174,176,181,186,191,196,197,198}"
hamming8-4.clq,0.481,16,"{22,25,37,42,67,76,112,127,128,143,179,188,213,218,230,233}"
johnson8-2-4.clq,0.041,4,"{9,12,16,21}"
johnson16-2-4.clq,0.143,8,"{35,42,50,59,69,80,92,105}"
keller4.clq,0.79,11,"{12,29,34,44,68,86,104,130,140,143,158}"
MANN_a27.clq,57.411,126,"{0,1,3,4,9,13,14,15,19,29,32,35,38,41,44,46,48,53,56,59,60,65,66,71,74,77,78,81,86,87,91,95,98,99,104,105,110,112,115,119,121,124,126,131,132,136,140,143,146,149,151,155,156,161,163,167,170,172,176,178,182,185,187,191,193,195,200,202,206,209,211,215,218,219,224,226,230,232,236,239,242,244,248,251,254,255,259,261,266,269,272,274,277,279,283,285,288,291,295,298,301,305,308,311,314,317,320,323,326,329,331,333,338,339,343,345,350,353,355,357,362,365,368,371,374,375}"
MANN_a9.clq,3.92,16,"{0,1,3,4,11,14,17,20,23,26,29,32,35,38,41,44}"
p_hat1000-1.clq,4.023,10,"{56,170,178,203,491,502,534,612,639,875}"
p_hat1000-2.clq,29.282,46,"{84,121,132,153,154,191,193,225,252,282,296,377,405,488,491,536,558,561,562,607,623,635,638,670,715,718,725,730,775,776,781,818,823,838,861,863,871,875,896,899,928,932,961,966,987,992}"
p_hat1500-1.clq,7.256,11,"{30,38,130,385,613,877,982,1004,1120,1194,1463}"
p_hat300-3.clq,4.329,36,"{3,18,19,20,23,32,39,48,55,74,75,88,97,138,148,159,165,173,175,189,198,204,218,220,225,234,238,244,246,251,254,272,289,296,297,298}"
p_hat500-3.clq,15.277,50,"{18,22,36,38,62,68,70,101,123,132,136,149,159,172,183,185,193,205,214,220,221,247,265,268,299,301,322,341,347,348,367,369,380,382,403,407,411,412,417,427,439,444,454,459,464,465,474,488,489,499}"
san1000.clq,794.416,15,"{138,154,279,312,349,431,456,527,535,672,732,773,821,841,919}"
sanr200_0.9.clq,3.904,42,"{12,13,17,19,22,25,34,39,44,56,58,62,65,68,73,81,89,92,93,97,101,103,106,109,110,118,119,123,125,135,142,149,158,159,165,168,171,184,188,189,192,197}"
sanr400_0.7.clq,2.612,21,"{12,29,32,54,96,97,119,129,163,172,243,248,266,282,287,311,323,327,339,349,398}"
