File,Time (sec),Clique size,1000
brock200_1.clq,4.923,20
brock200_2.clq,4.701,12
brock200_3.clq,7.384,15
brock200_4.clq,9.855,17
brock400_1.clq,18.344,23
brock400_2.clq,17.219,24
brock400_3.clq,17.168,24
brock400_4.clq,17.339,24
C125.9.clq,2.43,34
gen200_p0.9_44.clq,3.763,38
gen200_p0.9_55.clq,4.624,55
hamming8-4.clq,1.212,16
johnson8-2-4.clq,0.006,4
johnson16-2-4.clq,0.035,8
keller4.clq,3.871,11
MANN_a27.clq,1.942,124
MANN_a9.clq,0.179,16
p_hat1000-1.clq,49.66,10
p_hat1000-2.clq,140.123,42
p_hat1500-1.clq,93.809,11
p_hat300-3.clq,19.022,36
p_hat500-3.clq,30.514,47
san1000.clq,13.714,10
sanr200_0.9.clq,4.902,40
sanr400_0.7.clq,20.215,21
